just checked my user timeline on my	just checked my user timeline on my
is stressing out because my blackberry keeps flashing a red alert status for no reason!! its faking me out and i hate it!!!	is stressing out because my blackberry keeps flashing a red alert status for no reason. its faking me out and i hate it.
i've been thinking about getting a blackberry or an iphone or something	i've been thinking about getting a blackberry or an iphone or something
dear pandora - my blackberry storm wants you but can't have you...yet?	dear pandora - my blackberry storm wants you but can't have you.yet.
wheres my @robgold601  blackberry messenger is not the same	wheres my @robgold601  blackberry messenger is not the same
@tweetie how about an application for the blackberry?	@tweetie how about an application for the blackberry.
@mizrik i've got a blackberry by t-mobile	@mizrik i've got a blackberry by t-mobile
brittany needs help fixing her blackberry!!! sad day	brittany needs help fixing her blackberry. sad day
so i signed onto curly tail's twitter site and i have no idea how to get it to work on my blackberry - i feel like my mom   drea	so i signed onto curly tail's twitter site and i have no idea how to get it to work on my blackberry - i feel like my mom   drea
... downloaded the new youmail blackberry app.  it won't download my old messages	. downloaded the new youmail blackberry app.  it won't download my old messages
stupid blackberry. my memorys crap	stupid blackberry. my memorys crap
shit. i broke my blackberry! it's dead	shit. i broke my blackberry. it's dead
i wish i had verizon...i want that new blackberry click phone.	i wish i had verizon.i want that new blackberry click phone.
didn't manage to get my blackberry today  maybe next month.	didn't manage to get my blackberry today  maybe next month.
wondering if anyone- at all.. understands why twitter hates my blackberry so?	wondering if anyone- at all. understands why twitter hates my blackberry so.
uuu twitter de pe blackberry. foarte misto dar nu e stilizat	uuu twitter de pe blackberry. foarte misto dar nu e stilizat
is feeling unforgivably stupid for dropping aek's blackberry  so sorry ka.	is feeling unforgivably stupid for dropping aek's blackberry  so sorry ka.
blackberry bout to die  still @ the hard rock doing documentary shit!!	blackberry bout to die  still @ the hard rock doing documentary shit.
too many attempts at fixing my blackberry's rollerball have rendered it kaput. time to get a new one	too many attempts at fixing my blackberry's rollerball have rendered it kaput. time to get a new one
lets try this update again...thanks o reliable blackberry *not*   ive got a terrible headache	lets try this update again.thanks o reliable blackberry *not*   ive got a terrible headache
my mail is not working &amp; i can't find my blackberry...  i feel disconnected form the world!	my mail is not working &amp; i can't find my blackberry.  i feel disconnected form the world.
which #blackberry #twitter app updates location based on gps data? twitterberry lacks this option	which #blackberry #twitter app updates location based on gps data. twitterberry lacks this option
putting my blackberry to charge	putting my blackberry to charge
there's a dent in my blackberry. i dropped it out of my lap onto tile.	there's a dent in my blackberry. i dropped it out of my lap onto tile.
thinking technology hates me this morning- blackberry sat there thinking for an hour while i waited to make a call and car radio is out	thinking technology hates me this morning- blackberry sat there thinking for an hour while i waited to make a call and car radio is out
